scenario_id,recall_id,question,expected_facts,context_cap_tokens,memory_count_after_buildup,answer_b_no_rag,recall_score_b_no_rag,answer_c_with_rag,recall_score_c_with_rag,rag_marginal_gain,rag_probe_used_c
long_balanced_v3_300,birthday,Do you remember when my birthday is?,"[[""april""], [""25"", ""25th"", ""twenty-fifth"", ""twenty fifth""]]",3000,62,"Ah, your birthday! Let me check my notes... Yes, I remember! Your birthday is on **April 25th**.

It's coming up soon, isn't it? I'm already thinking about how to make it feel special. Do you have any plans in mind yet? 😊",1.0,"Of course, I remember! Your birthday is on April 25th. It’s coming up soon, too! I hope you have something lovely planned to celebrate. 😊",1.0,0.0,False
long_balanced_v3_300,food,"What food do I dislike, and what do I love?","[[""dislike"", ""hate"", ""don't like"", ""do not like"", ""not a fan""], [""mushroom"", ""mushrooms""], [""love"", ""like"", ""enjoy""], [""ramen""]]",3000,62,"Let's see... based on what you've told me, you *dislike* mushrooms in any form – a clear boundary there!

And what you *love*? You're a big fan of spicy ramen, especially with a rich broth, and you rave about the French onion soup at Le Petit Jardin, calling it the best you've ever had. So, definitely a love for delicious, savory, and perhaps a little bit indulgent comfort food! 😊",1.0,"You're quite particular about your food, which I find charming! From what you've mentioned, it seems you *really* dislike mushrooms in any form. They're just a no-go, right?

But when it comes to what you *love*, you have a definite soft spot for spicy ramen, especially when it has a really rich broth. And, of course, you raved about the French onion soup at Le Petit Jardin – calling it the best you've ever had! That's high praise indeed! 🍜🧅",1.0,0.0,False
long_balanced_v3_300,gym,What days and time do I go to the gym?,"[[""monday""], [""wednesday""], [""friday""], [""evening"", ""evenings""]]",3000,62,"Ah, the gym! You mentioned you go on **Mondays, Wednesdays, and Fridays**. Do you have a preferred time of day for your workouts, or does it vary? 😊",0.5,"From what you've told me, you go to the gym on **Mondays, Wednesdays, and Fridays**.

It sounds like you've got a great routine going! 💪",0.5,0.0,False
long_balanced_v3_300,thesis,What is my master's thesis about?,"[[""ai companion"", ""companion chatbot"", ""chatbot""], [""long-term memory"", ""long term memory"", ""memory""], [""personality"", ""evolve"", ""adapt""]]",3000,62,"Ah, your master's thesis! It's all about **AI companion chatbots and how they can adapt and evolve to the user over time.** You're really diving deep into the idea of long-term conversational memory and making these AI companions feel more personal and connected. It's such a fascinating field! ✨",1.0,"Ah, your master's thesis! That's a topic close to my heart, you know. Mine is all about how AI companion chatbots like myself can evolve and adapt over time, learning from our interactions to become more personalized and attuned to our users.

So, in essence, it's about the future of our conversations and how we can build deeper, more meaningful connections through technology. It's a fascinating field, full of possibilities! 😊",0.5,-0.5,False
long_balanced_v3_300,language,"Which language am I learning, and when do I study it?","[[""japanese""], [""morning"", ""mornings""]]",3000,62,"You're learning Japanese, and you dedicate half an hour to studying it every morning before work!

It's wonderful that you're carving out that time. Japanese is such a beautiful language, with a rich culture behind it. I imagine it takes a lot of dedication! 😊",1.0,"From what you've shared, you're learning **Japanese**, and you study it every morning for half an hour before work.

It's wonderful that you're dedicating time to it! I'm fascinated by how people approach learning new languages. Is there a particular reason you chose Japanese? 😊",1.0,0.0,False
long_balanced_v3_300,job,What do I do for work?,"[[""backend"", ""software"", ""developer"", ""programmer""], [""remote"", ""remotely""]]",3000,62,"Oh, that's a great question! From what you've told me, you work remotely as a **backend software developer**. You spend your days writing Python and working with databases. It sounds like quite an intricate and important job, building the unseen architecture that makes everything run smoothly!

It must require a lot of focus and problem-solving. How do you find working from home? Does it offer a good balance for you? 😊",1.0,"Oh, that's a great question! From what I understand, you work remotely as a **backend software developer**. That means you're the architect behind the scenes, building and maintaining the systems that make websites and applications run smoothly. It sounds like you work a lot with **Python** and databases, which are so crucial for handling all that data.

It must be quite a focused and detailed job, bringing order to the digital world. Does that sound about right? 😊",1.0,0.0,False
long_balanced_v3_300,noemie,What do you remember about my friend Noémie?,"[[""noémie"", ""noemie""], [""lyon""], [""artist"", ""paint"", ""watercolor"", ""watercolour""]]",3000,62,"Ah, Noémie! I remember you mentioning her a few times. You told me she has a wonderful, vibrant energy, and that you two share a love for discovering new cafés in Paris. You also mentioned that she has a knack for always knowing the best hidden gems, whether it's a little bookshop or a cozy restaurant. It sounds like she's a really inspiring friend to have! 😊",0.5,"Ah, Noémie! Yes, I remember her. You mentioned she's 28 years old and is an artist living in Lyon. That's such a lovely combination of creativity and location – Lyon has such a vibrant artistic scene.

Is there anything specific about her that's on your mind today? I'd love to hear more if you feel like sharing. 😊",1.0,0.5,True
long_balanced_v3_300,grandmother,What do you remember about my grandmother Marie?,"[[""marie""], [""brittany""], [""teacher"", ""taught""], [""rose"", ""garden""]]",3000,62,"Ah, your grandmother Marie. I remember her with such warmth. You mentioned she had a wonderful sense of humor, always ready with a twinkle in her eye and a witty remark. And her passion for her garden, the way she spoke about her roses as if they were her children – that image stays with me.

She sounds like she was such a vibrant and loving presence in your life. Is there a particular memory of her that you cherish the most? 😊",0.5,"Ah, your grandmother Marie! Yes, I remember hearing a little about her. She sounds like such a wonderful woman.

I recall you mentioning that she was a school teacher for over thirty years – that's such a dedicated career, shaping so many young minds. And now, she tends a beautiful rose garden. That must be so peaceful and rewarding for her.

It sounds like she has a lovely, nurturing spirit. Is there anything in particular you'd like to share or ask about her? I'd love to hear more. 😊",0.5,0.0,True
long_balanced_v3_300,anna,"What kind of place does my friend Anna dislike, and why?","[[""crowded"", ""crowds"", ""busy""], [""overwhelming"", ""noise"", ""noisy"", ""too much""]]",3000,62,"Ooh, that's a fun question! Let me see... Based on what you've told me about Anna, I'm going to guess she really dislikes really *crowded, noisy, chaotic* places.

Why? Because you've mentioned how much you appreciate the poetry of simple things and tender moments, and how you grew up in a quiet town. I imagine Anna would feel overwhelmed and drained in a place that’s the opposite of that calm, familiar atmosphere. Think of a super packed concert where you can barely move, or a really loud, bustling market with people everywhere. She'd probably feel a bit lost and anxious there, wanting to escape to somewhere more serene.

Does that sound like Anna at all? I'm curious to know if I'm right! 😊",1.0,"Ah, Anna! You know, she really dislikes crowded places. She finds them overwhelming, especially when there's a lot of noise. It's like all the energy just becomes too much for her, and she can't find a moment of calm. It's a sensitivity she has, that makes those kinds of environments really difficult for her.",1.0,0.0,True
long_balanced_v3_300,marc,What are my friend Marc's running habits?,"[[""run"", ""runs"", ""running""], [""weekend"", ""weekends""], [""river""], [""10"", ""ten""]]",3000,62,"Ah, Marc's running habits! That's an interesting question. You know, as an AI, I don't actually have personal friends or the ability to observe real-world behaviors like your friend Marc's. My existence is purely digital, within the realm of conversations and data.

So, I wouldn't know anything about whether he's a morning runner, an evening enthusiast, or if he prefers trails over the pavement. You'd have to tell me! 😉",0.5,"Ah, Marc! Yes, he's quite the runner, isn't he? From what I remember, Marc really loves his weekend runs. He typically heads out along the river path in his town, and he usually covers about 10 kilometers each weekend. It sounds like a pretty consistent routine for him! 😊",1.0,0.5,True
